VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-15 22:25:18,2015-01-15 22:28:34,1,.60,-73.982009887695313,40.778377532958984,1,Y,-73.988990783691406,40.777034759521484,1,4,0.5,0.5,1,0,0.3,6.3
2,2015-01-15 22:18:06,2015-01-15 22:28:50,1,2.23,-73.931259155273437,40.672420501708984,1,N,-73.969207763671875,40.676540374755859,1,9.5,0.5,0.5,2.5,0,0.3,13.3
2,2015-01-15 22:18:07,2015-01-15 22:28:25,1,2.44,-74.010429382324219,40.709129333496094,1,N,-74.008430480957031,40.736980438232422,1,9.5,0.5,0.5,2,0,0.3,12.8
1,2015-01-15 22:00:05,2015-01-15 22:28:33,4,9.10,-73.965423583984375,40.769210815429687,1,N,-73.998741149902344,40.676605224609375,1,29.5,0.5,0.5,6.15,0,0.3,36.95
2,2015-01-15 22:18:10,2015-01-15 22:28:58,1,2.23,-73.982627868652344,40.764141082763672,1,N,-73.969673156738281,40.789665222167969,1,10.5,0.5,0.5,2.25,0,0.3,14.05
1,2015-01-15 22:25:36,2015-01-15 22:28:57,1,.60,-74.004539489746094,40.752162933349609,1,N,-73.994850158691406,40.750114440917969,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-01-15 22:18:19,2015-01-15 22:28:38,1,1.24,-73.987556457519531,40.735908508300781,1,N,-73.978523254394531,40.729816436767578,1,8,0.5,0.5,1.7,0,0.3,11
2,2015-01-15 21:57:48,2015-01-15 22:28:53,2,3.63,-73.995216369628906,40.725269317626953,1,N,-73.981216430664063,40.765510559082031,1,16,0.5,0.5,3.3,0,0.3,20.6
2,2015-01-15 22:18:22,2015-01-15 22:28:37,1,2.02,-73.973808288574219,40.753829956054688,1,N,-73.974136352539062,40.731609344482422,1,9,0.5,0.5,1.9,0,0.3,12.2
2,2015-01-15 22:18:24,2015-01-15 22:28:39,1,2.13,-74.004959106445312,40.71856689453125,1,N,-73.99627685546875,40.7388916015625,1,9.5,0.5,0.5,2,0,0.3,12.8
1,2015-01-15 22:25:47,2015-01-15 22:28:53,4,.70,-73.988914489746094,40.758319854736328,1,N,-73.982398986816406,40.767234802246094,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-01-15 21:57:53,2015-01-15 22:28:56,1,19.88,-73.792427062988281,40.645053863525391,2,N,-73.971595764160156,40.782169342041016,1,52,0,0.5,11.47,5.33,0.3,69.6
2,2015-01-15 22:04:38,2015-01-15 22:28:32,5,5.88,-73.991943359375,40.738273620605469,1,N,-73.956611633300781,40.677013397216797,1,21.5,0.5,0.5,4.4,0,0.3,27.2
2,2015-01-15 22:04:40,2015-01-15 22:28:05,1,6.18,-73.991104125976563,40.733699798583984,1,N,-73.974563598632812,40.795871734619141,1,22,0.5,0.5,3,0,0.3,26.3
2,2015-01-15 22:18:30,2015-01-15 22:28:15,1,1.73,-73.978202819824219,40.755802154541016,1,N,-73.989517211914062,40.774436950683594,1,9,0.5,0.5,1,0,0.3,11.3
1,2015-01-15 22:25:58,2015-01-15 22:28:42,1,.60,-74.014961242675781,40.714576721191406,1,N,-74.017585754394531,40.708034515380859,1,4.5,0.5,0.5,1.15,0,0.3,6.95
2,2015-01-15 22:04:53,2015-01-15 22:28:15,2,13.33,-73.78887939453125,40.642185211181641,1,N,-73.849151611328125,40.791603088378906,2,37,0.5,0.5,0,0,0.3,38.3
2,2015-01-15 22:18:40,2015-01-15 22:28:09,4,2.29,-73.976600646972656,40.753890991210937,1,N,-73.980979919433594,40.777572631835938,1,9.5,0.5,0.5,2,0,0.3,12.8
2,2015-01-15 22:18:41,2015-01-15 22:28:26,1,1.16,0,0,1,N,0,0,1,8,0.5,0.5,1.7,0,0.3,11
2,2015-01-15 22:18:44,2015-01-15 22:28:04,1,1.49,-73.978828430175781,40.761013031005859,1,N,-73.989028930664062,40.774387359619141,1,8.5,0.5,0.5,1.8,0,0.3,11.6
2,2015-01-15 22:08:25,2015-01-15 22:28:02,4,9.83,-74.012710571289063,40.702255249023438,1,N,-73.956901550292969,40.802513122558594,1,28.5,0.5,0.5,5.8,0,0.3,35.6
2,2015-01-15 22:18:46,2015-01-15 22:28:44,2,1.74,-74.003311157226563,40.738880157470703,1,N,-73.981407165527344,40.741195678710938,1,9,0.5,0.5,1,0,0.3,11.3
2,2015-01-15 22:18:50,2015-01-15 22:28:32,3,2.04,-73.988227844238281,40.723407745361328,1,N,-73.9923095703125,40.743553161621094,2,9,0.5,0.5,0,0,0.3,10.3
2,2015-01-15 22:23:25,2015-01-15 22:28:13,5,.61,-73.98712158203125,40.754405975341797,1,N,-73.9931640625,40.755195617675781,1,5,0.5,0.5,1.1,0,0.3,7.4
1,2015-01-15 22:26:10,2015-01-15 22:28:42,1,.70,-73.974533081054687,40.752906799316406,1,N,-73.980888366699219,40.744579315185547,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-01-15 22:08:29,2015-01-15 22:28:43,1,3.22,-74.009765625,40.722225189208984,1,N,-73.979072570800781,40.752670288085938,2,15,0.5,0.5,0,0,0.3,16.3
2,2015-01-15 22:18:52,2015-01-15 22:28:09,1,2.64,-73.988922119140625,40.718963623046875,1,N,-73.9449462890625,40.702430725097656,1,10.5,0.5,0.5,2.2,0,0.3,14
2,2015-01-15 22:23:29,2015-01-15 22:28:18,1,.72,-73.984336853027344,40.74432373046875,1,N,-73.979255676269531,40.752483367919922,1,5.5,0.5,0.5,1.2,0,0.3,8
2,2015-01-15 22:24:54,2015-01-15 22:28:43,5,.65,-73.982513427734375,40.725658416748047,1,N,-73.990455627441406,40.724712371826172,1,4.5,0.5,0.5,2.25,0,0.3,8.05
1,2015-01-15 22:26:15,2015-01-15 22:28:42,2,.40,-73.987464904785156,40.719776153564453,1,N,-73.982986450195313,40.722496032714844,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2015-01-15 22:23:34,2015-01-15 22:28:32,1,.85,-73.992897033691406,40.751876831054688,1,N,-73.980766296386719,40.750560760498047,1,5.5,0.5,0.5,1.8,0,0.3,8.6
2,2015-01-15 22:25:01,2015-01-15 22:28:13,1,.68,-73.97222900390625,40.747501373291016,1,N,-73.980422973632813,40.744491577148438,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2015-01-15 22:26:24,2015-01-15 22:28:52,1,.70,-73.985984802246094,40.746318817138672,1,N,-73.995170593261719,40.744064331054688,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2015-01-15 22:26:26,2015-01-15 22:28:14,1,.70,-74.007057189941406,40.743495941162109,1,N,-74.005607604980469,40.750858306884766,1,4,0.5,0.5,1,0,0.3,6.3
2,2015-01-15 22:08:41,2015-01-15 22:28:12,1,4.67,-73.998321533203125,40.750202178955078,1,N,-73.969161987304688,40.800945281982422,1,17.5,0.5,0.5,5.4,0,0.3,24.2
2,2015-01-15 22:08:42,2015-01-15 22:28:15,1,9.04,-73.9744873046875,40.78338623046875,1,N,-73.914970397949219,40.888721466064453,1,26.5,0.5,0.5,7.36,2.44,0.3,37.6
2,2015-01-15 22:19:04,2015-01-15 22:28:04,3,1.56,-73.970878601074219,40.758026123046875,1,N,-73.953277587890625,40.764785766601563,2,8,0.5,0.5,0,0,0.3,9.3
2,2015-01-15 22:19:05,2015-01-15 22:28:13,3,1.16,-74.004539489746094,40.721439361572266,1,N,-73.989860534667969,40.726398468017578,1,7.5,0.5,0.5,1.6,0,0.3,10.4
